ActivityName,ResourceId,Timestamp,Transition,EventId,CaseName,TraceId,Value,Position,Day
go_wardrobe,1,2020-03-16 00:00:00+00:00,complete,0,sleeping_BP,0,,wardrobe ,Day1
get_clothes,1,2020-03-16 00:00:00+00:00,start,1,sleeping_BP,0,,wardrobe ,Day1
get_clothes,1,2020-03-16 00:01:00+00:00,complete,3,sleeping_BP,0,,wardrobe ,Day1
change_clothes,1,2020-03-16 00:01:00+00:00,start,4,sleeping_BP,0,,wardrobe ,Day1
change_clothes,1,2020-03-16 00:05:00+00:00,complete,5,sleeping_BP,0,,wardrobe ,Day1
go_bathtub,1,2020-03-16 00:05:00+00:00,complete,6,sleeping_BP,0,,bathroom_sink,Day1
go_bathtub,1,2020-03-16 00:06:00+00:00,complete,7,sleeping_BP,0,,bathroom_sink,Day1
have_bath,1,2020-03-16 00:06:00+00:00,start,8,sleeping_BP,0,,bathroom_sink,Day1
have_bath,1,2020-03-16 00:30:00+00:00,complete,10,sleeping_BP,0,,bathroom_sink,Day1
go_bathroom_sink,1,2020-03-16 00:30:00+00:00,complete,11,sleeping_BP,0,,bathroom_sink,Day1
brush_teeth,1,2020-03-16 00:30:00+00:00,start,12,sleeping_BP,0,,bathroom_sink,Day1
brush_teeth,1,2020-03-16 00:36:00+00:00,complete,14,sleeping_BP,0,,bathroom_sink,Day1
go_bed,1,2020-03-16 00:36:00+00:00,complete,15,sleeping_BP,0,,bed ,Day1
sleep_in_bed,1,2020-03-16 00:36:00+00:00,start,16,sleeping_BP,0,,bed ,Day1
sleep_in_bed,1,2020-03-16 07:33:00+00:00,complete,18,sleeping_BP,0,,bed ,Day1
go_wardrobe,1,2020-03-16 07:33:00+00:00,complete,19,sleeping_BP,0,,wardrobe ,Day1
change_clothes,1,2020-03-16 07:33:00+00:00,start,20,sleeping_BP,0,,wardrobe ,Day1
change_clothes,1,2020-03-16 07:38:00+00:00,complete,22,sleeping_BP,0,,wardrobe ,Day1
go_kitchen_shelf,1,2020-03-16 07:38:00+00:00,complete,23,drink,1,,kitchen_shelf ,Day1
get_glass,1,2020-03-16 07:38:00+00:00,start,24,drink,1,,kitchen_shelf ,Day1
get_glass,1,2020-03-16 07:39:00+00:00,complete,26,drink,1,,kitchen_shelf ,Day1
go_kitchen_sink,1,2020-03-16 07:39:00+00:00,complete,27,drink,1,,kitchen_sink ,Day1
